UUID,Alignments,Subject Group,,Grade Group,Category,OLO.ID,Description,Assessment Example,Resource Link,Notes
,6.EE.2,OLO.Math,,Middle School,Expressions and Equations,OLO.EE.1,Write expressions in which letters stand for numbers.,,,
,6.EE.2,OLO.Math,,Middle School,Expressions and Equations,OLO.EE.2,Read expressions in which letters stand for numbers.,,,
,6.EE.2,OLO.Math,,Middle School,Expressions and Equations,OLO.EE.3,Evaluate expressions in which letters stand for numbers.,,,
,6.EE.2.a,OLO.Math,,Middle School,Expressions and Equations,OLO.EE.4,"Write expressions that record operations with numbers and with letters standing for numbers. For example, express the calculation “Subtract y from 5” as 5 – y.",,,
,6.EE.2.b,OLO.Math,,Middle School,Expressions and Equations,OLO.EE.5,Identify parts of an expression using mathematical terms,,,
,6.EE.2.b,OLO.Math,,Middle School,Expressions and Equations,OLO.EE.6,Be able to decompose expressions into separate parts,,,
,6.EE.2.c,OLO.Math,,Middle School,Expressions and Equations,OLO.EE.7,Evaluate expressions with specific values,,,
,6.EE.2.c,OLO.Math,,Middle School,Expressions and Equations,OLO.EE.8,Evaluate expressions with the correct order of operations,,,
,6.EE.3,OLO.Math,,Middle School,Expressions and Equations,OLO.EE.9,Apply the properties of operations to generate equivalent expressions.,,,
,6.EE.4,OLO.Math,,Middle School,Expressions and Equations,OLO.EE.10,Identify when two expressions are equivalent,,,
,6.EE.5,OLO.Math,,Middle School,Solve linear equations,OLO.LINEQ.1,Use substitution to determine whether a given number in a specified set makes an equation true.,,,
,6.EE.5,OLO.Math,,Middle School,Solve linear inequalities,OLO.LININEQ.1,Use substitution to determine whether a given number in a specified set makes an inequality true.,,,
,6.EE.6,OLO.Math,,Middle School,Expressions and Equations,OLO.EE.11,Use variables to represent numbers and write expressions when solving a real-world or mathematical problem,,,
,6.EE.7,OLO.Math,,Middle School,Solve linear equations,OLO.LINEQ.2,"Solve real-world and mathematical problems by writing and solving equations of the form x + p = q and px = q for cases in which p, q and x are all nonnegative rational numbers.",,,
,6.EE.8,OLO.Math,,Middle School,Solve linear inequalities,OLO.LININEQ.2,Write an inequality of the form x > c or x < c to represent a constraint or condition in a real-world or mathematical problem,,,
,6.EE.8,OLO.Math,,Middle School,Solve linear inequalities,OLO.LININEQ.3,Recognize that inequalities of the form x > c or x < c have infinitely many solutions,,,
,6.EE.8,OLO.Math,,Middle School,Solve linear inequalities,OLO.LININEQ.4,Represent solutions of inequalities on a number line,,,
,6.EE.9,OLO.Math,,Middle School,Expressions and Equations,OLO.EE.12,Use variables to represent two quantities in a real-world problem that change in relationship to one another,,,
